Session,attempt,H.,DD.,UD.,Ht,DDt,UDt,Hi,DDi,UDi,He,DDe,UDe,H5,DD5,UD5,Hshift,DDshift,UDshift,Hr,DDr,UDr,Ho,DDo,UDo,Ha,DDa,UDa,Hn,DDn,UDn,Hl,DDl,UDl,Henter
1.0,1.0,0.1228339672088623,0.4469280242919922,0.3240940570831299,0.08957600593566895,0.16853713989257812,0.07896113395690918,0.05917000770568848,0.1190798282623291,0.059909820556640625,0.08933901786804199,0.23011088371276855,0.14077186584472656,0.09566903114318848,0.2608358860015869,0.16516685485839844,0.40729188919067383,0.31162285804748535,0.08001303672790527,0.08614087104797363,0.3170919418334961,0.23095107078552246,0.06806111335754395,0.11941003799438477,0.05134892463684082,0.07080578804016113,0.15900874137878418,0.08820295333862305,0.05820512771606445,0.19796109199523926,0.1397559642791748,0.07697701454162598,0.20805001258850098,0.131072998046875,0.10243797302246094
1.0,2.0,0.10819196701049805,0.3439140319824219,0.23572206497192383,0.0738840103149414,0.11838006973266602,0.04449605941772461,0.055255889892578125,0.14783596992492676,0.09258008003234863,0.08923196792602539,0.25517797470092773,0.16594600677490234,0.05825090408325195,0.24566888809204102,0.18741798400878906,0.38422584533691406,0.3259749412536621,0.08382201194763184,0.08689999580383301,0.16551494598388672,0.07861495018005371,0.06435418128967285,0.14849114418029785,0.084136962890625,0.0676720142364502,0.13460087776184082,0.06692886352539062,0.05203604698181152,0.19111084938049316,0.13907480239868164,0.061554908752441406,0.23729705810546875,0.17574214935302734,0.07672309875488281
1.0,3.0,0.09929895401000977,0.2795398235321045,0.18024086952209473,0.07077479362487793,0.14528179168701172,0.07450699806213379,0.0489039421081543,0.11611413955688477,0.06721019744873047,0.07995009422302246,0.27738022804260254,0.19743013381958008,0.06744503974914551,0.2545900344848633,0.18714499473571777,0.3724250793457031,0.3049800395965576,0.08258318901062012,0.08558797836303711,0.1611950397491455,0.0756070613861084,0.05224895477294922,0.13446283340454102,0.0822138786315918,0.07066893577575684,0.13311195373535156,0.06244301795959473,0.04892897605895996,0.19103789329528809,0.14210891723632812,0.055322885513305664,0.22036385536193848,0.1650409698486328,0.07429194450378418
1.0,4.0,0.10967588424682617,0.334378719329834,0.2247028350830078,0.05800008773803711,0.1444110870361328,0.0864109992980957,0.04932284355163574,0.11912965774536133,0.06980681419372559,0.08880901336669922,0.2811551094055176,0.19234609603881836,0.0736689567565918,0.2562880516052246,0.1826190948486328,0.3772871494293213,0.3036181926727295,0.08948898315429688,0.09591507911682129,0.1925830841064453,0.09666800498962402,0.07075905799865723,0.13109612464904785,0.060337066650390625,0.06144404411315918,0.13135790824890137,0.06991386413574219,0.05511784553527832,0.19402074813842773,0.13890290260314941,0.07085490226745605,0.23712396621704102,0.16626906394958496,0.06759309768676758
1.0,5.0,0.09882807731628418,0.3124699592590332,0.21364188194274902,0.07171010971069336,0.13380026817321777,0.062090158462524414,0.052126169204711914,0.13947224617004395,0.08734607696533203,0.08621692657470703,0.29877495765686035,0.21255803108215332,0.06762313842773438,0.22562217712402344,0.15799903869628906,0.336712121963501,0.2690889835357666,0.0865929126739502,0.08955502510070801,0.1770029067993164,0.0874478816986084,0.05709195137023926,0.14925813674926758,0.09216618537902832,0.049011945724487305,0.11867690086364746,0.06966495513916016,0.055238962173461914,0.1936779022216797,0.13843894004821777,0.06457185745239258,0.24437475204467773,0.17980289459228516,0.06755900382995605
1.0,6.0,0.09525299072265625,0.3133969306945801,0.21814393997192383,0.05352592468261719,0.13939309120178223,0.08586716651916504,0.049041032791137695,0.12804198265075684,0.07900094985961914,0.08636283874511719,0.23313689231872559,0.1467740535736084,0.07753396034240723,0.2676839828491211,0.19015002250671387,0.3826279640197754,0.30509400367736816,0.07667207717895508,0.08603096008300781,0.1704409122467041,0.08440995216369629,0.05837106704711914,0.1519911289215088,0.09362006187438965,0.048979997634887695,0.13373112678527832,0.08475112915039062,0.04273796081542969,0.1907498836517334,0.1480119228363037,0.05871081352233887,0.23350071907043457,0.1747899055480957,0.07371902465820312
1.0,7.0,0.0948481559753418,0.30883121490478516,0.21398305892944336,0.06748318672180176,0.14234423637390137,0.07486104965209961,0.04600405693054199,0.12645292282104492,0.08044886589050293,0.08415889739990234,0.24241995811462402,0.15826106071472168,0.07057809829711914,0.2478160858154297,0.17723798751831055,0.35639524459838867,0.28581714630126953,0.07426118850708008,0.08661603927612305,0.16684603691101074,0.0802299976348877,0.055281877517700195,0.15181589126586914,0.09653401374816895,0.05511784553527832,0.13422894477844238,0.07911109924316406,0.04065704345703125,0.19926905632019043,0.15861201286315918,0.058320045471191406,0.24082303047180176,0.18250298500061035,0.07065916061401367
1.0,8.0,0.09505701065063477,0.28159117698669434,0.18653416633605957,0.06754493713378906,0.14194178581237793,0.07439684867858887,0.0429079532623291,0.14026689529418945,0.09735894203186035,0.07375788688659668,0.20537185668945312,0.13161396980285645,0.09601283073425293,0.29328083992004395,0.19726800918579102,0.3930666446685791,0.29705381393432617,0.0894021987915039,0.11751008033752441,0.18309617042541504,0.06558609008789062,0.06766700744628906,0.15927696228027344,0.09160995483398438,0.06770491600036621,0.14079594612121582,0.07309103012084961,0.05827784538269043,0.21676993370056152,0.1584920883178711,0.04382801055908203,0.378493070602417,0.33466506004333496,0.08007693290710449
1.0,9.0,0.09612083435058594,0.40904879570007324,0.3129279613494873,0.0582270622253418,0.15830612182617188,0.10007905960083008,0.05738520622253418,0.12309622764587402,0.06571102142333984,0.08056282997131348,0.22870779037475586,0.14814496040344238,0.07385802268981934,0.30107712745666504,0.2272191047668457,0.378507137298584,0.30464911460876465,0.0872960090637207,0.10909795761108398,0.21666884422302246,0.10757088661193848,0.06112098693847656,0.15577387809753418,0.09465289115905762,0.06195688247680664,0.14258980751037598,0.08063292503356934,0.04591488838195801,0.2184457778930664,0.1725308895111084,0.05532217025756836,0.24286508560180664,0.18754291534423828,0.07107806205749512
1.0,10.0,0.07878899574279785,0.25680017471313477,0.17801117897033691,0.06437492370605469,0.14069581031799316,0.07632088661193848,0.05521893501281738,0.13039088249206543,0.07517194747924805,0.08319592475891113,0.24140572547912598,0.15820980072021484,0.07065701484680176,0.2628471851348877,0.19219017028808594,0.39421916007995605,0.3235621452331543,0.06759309768676758,0.07992911338806152,0.19646811485290527,0.11653900146484375,0.058238983154296875,0.14648199081420898,0.08824300765991211,0.0615389347076416,0.1450037956237793,0.0834648609161377,0.05419802665710449,0.20682406425476074,0.15262603759765625,0.06141996383666992,0.2469780445098877,0.18555808067321777,0.07392191886901855
